Word Order,Frequency_SSJ,Example_Sentence_SSJ,Frequency_SST,Example_Sentence_SST
OSVOSV,2.0,"Pozimi leta 1683 so mu učenci podarili še eno kočo v Edu , vendar se njegovo počutje ni izboljšalo .",2.0,mhm kaj pa vi pravite na to gos- ja k- kaj vi pravite gospo-
OSVOSVO,1.0,"Preloženo tekmo je Pionir v Ljutomeru nesrečno izgubil - V petek jim proti Olimpiji sreča ni obrnila hrbta - Dober servis , napad in Dolja z druge linije",0.0,0
OSVOSVVVVSOSVVO,0.0,0,1.0,večkrat mi ljudje rečejo da e so me očitno že starši zaznamovali ne vem kako so lahko vplivali na to da sem se rodila devetega maja ampak dan Evrope je res en tak eem lep praznik in vsakič mi za rojstni dan veliko ljudi čestita in poveže to zgodbo z mojo evropsko kariero
OSVOV,12.0,"Kmalu nam zajeten kup konzerv na snegu ob naših ležiščih govori , da se nam danes godi prav dobro .",1.0,aha aha aha aha aha aha a- eee ba- babure ja ja ki jo jaz poznam tako rekoč dedca poznam
OSVOVO,1.0,"Karkoli že bi ruski predsednik rekel študentom , bi tukaj doživelo uspeh .",1.0,pa pa so ga ljudje zajebavali evo pol vam je pa dal kajlo
OSVOVOOOSV,1.0,"Prepričana sem , da si je najin otrok izbral prav naju za starša , ker potrebuje za življenje ravno to , kar mu midva lahko nudiva , """,0.0,0
OSVOVOSVVSVO,1.0,"Če si glavna opozicijska skupina v parlamentu ne bo priskrbela dovolj glasov in postavila na oblast svojega kandidata , ne da bi Slovenci morali oditi na volišča pred jesenjo , potem je Janez Drnovšek odločen , da bo obnovil svojo oblast v Sloveniji .",0.0,0
OSVOVOV,2.0,"Na akademiji so nas profesorji , razen Vladimirja Kralja , ki je predaval dramaturgijo , silili , naj jih posnemamo tako pri režiji in igri , kakor tudi v starokopitnem načinu mišljenja .",0.0,0
OSVOVOVO,0.0,0,1.0,ta naselja so občine in države skozi desetletja večinoma tolerirale in jih niso urejale ter so to urejanje prepustile pravzaprav neformalno nekako neformalno posamezniku
OSVOVOVOOVOS,1.0,"Ko ga mati objame in mu zapoje pesmico ali pove kratko zgodbo , nevede otroku privzgaja občutek , da je to nekaj lepega .",0.0,0
OSVOVOVOVVO,1.0,"Nato vam novinarji nastavimo drugo ogledalo - ker s svojo javno podobo niste zadovoljni , trdite , da smo vam naredili sceno in da s Financami nočete imeti nobenega opravka več .",0.0,0
OSVOVOVS,1.0,"Povečanju sredstev iz strukturnih skladov in kohezijskega sklada za štiri odstotke - to bi zmanjšalo kompenzacijska plačila novinkam , ki bodo imele primanjkljaj v poslovanju z Unijo že v obdobju privajanja - še vedno nasprotujejo štiri prejemnice solidarnostne pomoči ( Španija , Portugalska , Grčija in Irska ) .",0.0,0
OSVOVOVV,0.0,0,1.0,eee če mu je še mama mislim da Tamiflu zraven dala samo ga je doma pozabil razumeš
OSVOVS,4.0,"Če pa si partnerja določita vsak svoj "" revir "" , ponavadi ni težav .",0.0,0
OSVOVV,1.0,"Pri tem nam ni nihče pomagal , vse smo morali sami postoriti .",0.0,0
OSVOVVO,1.0,"Če ti bodo starši dovolili , te vabim , da obiščeš našo državo , najbolje to poletje .",0.0,0
OSVOVVOOV,1.0,"Če ji ne bi otiščanci na mezincu noge povzročali nočne more pri nakupovanju čevljev , najbrž še zdaj ne bi vedela , da ima živčno - mišično bolezen , imenovano bolezen Charcot - Marie - Tooth , ki jo označujemo tudi s kratico CMT .",0.0,0
OSVOVVS,2.0,"Z navideznim umikom na avstrijsko Koroško si Haider odpira možnost , da lahko iz Celovca na Dunaj strelja iz opozicijskih topov celo proti vladi , v kateri sodeluje njegova stranka .",0.0,0
OSVOVVVVO,1.0,"Juliju Barberisu , prvemu magistru novincev , je don Bosko zaupal : "" S spoznanji , ki jih dobivam v sanjah , si pomagam pri spovedovanju , za osebno in javno spodbudo , ker vidim , da imajo dobre učinke .",0.0,0
OSVS,4.0,"Obračuna in plačila DDV bi bile oproščene tudi finančne storitve ( bančne , zavarovalniške in poseben segment iger na srečo ) , saj je pri teh dejavnostih težko določiti , kaj je dodana vrednost .",2.0,in z to pa zdaj sploh to pa noben ne po polemizira zato ker tista Waldorfska šola je bila ustanovljena triindevetdesetega leta pred spremembo zofvi-ja in je financirana stoprocentno
OSVSOV,2.0,"Očitno ji je nekdo na drugi strani razložil , da je zavarovalnica predlog umaknila .",0.0,0
OSVSOVVSV,0.0,0,1.0,nam je bila legenda serija veš to mi je v redu ker je bila tako lepo ena sezona pa se ne vleče nekam v tri dni za brez veze tako kot večina serij
OSVSSVOV,0.0,0,1.0,hkrati mi je bilo pa zanimivo e tudi e pri- eee prikaz e borbe za oblast ki je tipična tudi za realnost in tudi v tej borbi za oblast za moč za vladanje se je kazalo e to da nekdo ki ima izrazita moralna načela ki e moralno-etična načela e zelo težko e pravzaprav ostane na oblasti in eee je po navadi žrtev sistema
OSVSV,2.0,"Po letu 1916 jih je avtor zasnoval še pet , ena ( Uspavanka : Pismo ) je izšla 1917 v Ljubljanskem zvonu , ostale ( Lisica , Veverica , Stari Medo in Slovo ) pa v letih 1922 - 1931 v tržaškem Novem oziroma ljubljanskem Našem rodu .",0.0,0
OSVSVOOV,1.0,"Pri zabavi jih kljub žalovanju ni nihče motil , na koncu pa je natakar le prišepnil Majzlju : "" Vam pa res ni lahko .",0.0,0
OSVSVOVSVOV,1.0,"Šele ko ga je grofica Matilda prepričala , da bo Henrik umrl , če ga pusti pred zidovjem samo še minuto , se je Gregor odločil , da ga sprejme .",0.0,0
OSVSVSVOSVOSVOSVOSV,0.0,0,1.0,tisto kar zasebna šola vpiš razpiše dodatno to pomeni kar sledi njihovim interesom Waldorfska ima svoje Montessori ima svoje Šuštar ima svoje tisto pa se ne finansira
OSVSVVO,1.0,"Administrativnemu diskurzu je diskurz prava podoben tudi po visoki stopnji formalizacije na strani jezikovne izjave , čeprav se od nje do neke mere razlikuje po tem , da se - pogosteje kot v domeni administracije - njegova komunikacijska dejanja odvijajo v živi besedi ( v pravdah , na primer ) , čeprav praviloma zadobivajo tudi svojo pisano obliko .",0.0,0
OSVSVVVOVVOOVOVOVO,0.0,0,1.0,in nas to zelo zelo jezi ker pa me vemo da smo sposobne a ne in dejansko tudi smo ampak si samo želimo da bi nas poslušali slišali da nam je težko nas razumeli in nam po- s tem pomagali a ne nič ne rabimo nobene konkretne pomoči
OSVV,16.0,"Ko me je pošast zagledala , je zdrvela proti meni .",7.0,ja ja ja to sem jaz naredil samo pol p- kot ta petega ne sem se pa z [name:personal] menil
OSVVO,5.0,"Na enem od sestankov jim je ministrica za gospodarstvo dr. Tea Petrin dejala , naj kar sami poiščejo vlagatelja za novo tovarno .",2.0,in zdaj če bi to en slikar v roke vzel ne pa bi najprej naredil [name:personal] [name:surname]
OSVVOOV,1.0,"To člani komisije vedo , da sem dajal vrsto nekih amandmajev v neki fazi , kot smo to imenovali in so bili tudi v dokajšnji meri sprejeti in tako naprej .",0.0,0
OSVVOOVO,1.0,"Vrhunec uspešnosti je Christopher Skase dosegel v 80. letih , ko si je prislužil velikansko bogastvo in si lahko privoščil prav vse .",0.0,0
OSVVOOVVO,1.0,"Znanstvenike njihova božanska radovednost in neustavljivi entuziazem zaslepita do te mere , da praviloma niti ne uvidijo možnih negativnih posledic svojega dela , prav tako pa jim nikoli v zgodovini ni uspelo nadzirati družbenih posledic svojih odkritij .",0.0,0
OSVVOSV,0.0,0,1.0,vaš komentar kaj pravzaprav vi eee o tem mmm menite kako ste videli nebesedno k- komunikacijo ste pozorni na eem govorce pet jih je bilo kdo kako
OSVVOSVV,0.0,0,1.0,to sicer mi ki nismo pravniki majčkeno težko zdaj razumemo verjetno tudi velik del naših gledalcev o čemer ste se zdaj pogovarjali verjetno bo tole vprašanje stroka še morala reševati
OSVVOSVVV,0.0,0,1.0,saj so ga policaji d- eee vprašali kje dobi to kje se to dobi pa pravi da ima na internet
OSVVOV,1.0,"Jure : Mlinček voda poganja , ko gre tud pod vodo , pa vodo zajame .",0.0,0
OSVVOVOOVO,1.0,"Poročilo je glavni inšpektor za anatomijo Jeremy Metters predstavil po dveletni raziskavi , s katero je ugotovil , da so med leti 1970 in 2000 brez dovoljenja svojcev v raziskovalne namene skoraj 100.000 ljudem odstranili možgane in jih predali univerzam in raziskovalnim inštitutom .",0.0,0
OSVVOVOV,1.0,"Kadar koli ga kdo pokliče , spusti vse iz rok , se dobi z njim in mu pomaga .",0.0,0
OSVVOVOVOVVVO,1.0,"Ko ga je Nato pregnal s Kosova , je sklical volitve , na njih izgubil , a tega ni priznal , nato pa so mu v Evropi in ZDA povedali , da ne more zanikati svojega poraza .",0.0,0
OSVVOVSVOVSVVVOVO,0.0,0,1.0,in običajno nam to ko neka kulisa praktično se ne zavedamo igra v ozadju in to sem jaz vas čas in še danes imam ta refleks da vsakič ko je tista ura za poročila ker sem delala tudi na nacionalnem radiu avtomatično preklopim da poslušam poročila na radiu če imam le to možnost
OSVVOVSVSVOV,0.0,0,1.0,pa te smo mi to ne znali kaj to ginazium ka v gimnazium hodi pa te smo to dolgo ne znali te oča so gučali ka naša [name:personal] v nazium hodi gimnazium tako ka sem jih poznal
OSVVS,5.0,"Fotografije Triglava , ob katerih gora vsakič znova zaživi in ki so bile posnete iz različnih smeri , dopolnjujejo citati , znane pesmi in odlomki iz literarnih del različnih avtorjev , med njimi Slavina ( Matije Zemljiča ) , Juliusa Kugyja , Jake Čopa , Alojza Gradnika , Matjaža Kmecla , Franceta Steleta in drugih .",1.0,na speščeni prod jezikovne raznolikosti v sedanji dobi odločno opozarja da je možnosti več
OSVVSOV,1.0,"Če jih institucija sili v hipokrizijo , je razlog navadno v tem , da institucionalnih zahtev ni mogoče izpolniti .",0.0,0
OSVVSOVVO,1.0,"Vendar v mojem vprašanju in v mojem predlogu sklepa , ki ga gospod Školč ni niti prebral ali je menil , da ni potrebno , so to druge službe , ki vas pa redno obveščajo o vseh teh dogajanjih in tudi o TAM-u in predvsem o TAM-u , o velikih gospodarskih subjektih in dobite mesečna in trimesečna in letna poročila - ste seznanjeni gospod minister .",0.0,0
OSVVSS,1.0,"Tam so nam Slovenci ušli in ker je bilo to ravno ob koncu tekme , je bilo naših upov konec .",0.0,0
OSVVSSVVO,1.0,"Tekmeca , ki so jima okoliščine onemogočile , da bi postala zaveznika , kljub temu pa je bilo za ostrimi vprašanji in odgovori prisotno neizgovorjeno razumevanje ; zajeto je bilo v samoumevnosti , tisti samoumevnosti , ki edina zbliža ali odbije svetove .",0.0,0
OSVVSV,4.0,"Marijan Schiffrer , poslanec SKD in predsednik parlamentarne komisije za odnose s Slovenci v zamejstvu in po svetu , v časniku Parlamentarec o tem , kaj naj bi država ponudila oziroma dobila od zamejcev in Slovencev po svetu : "" Zamejci bodo naš ključni člen , če in ko vstopimo v EU .",1.0,ampak [name:personal] kako ji vi podarite če ste prej rekli da žena kupuje
OSVVSVOV,1.0,"Na srečo je požar , lastnikov namreč ni bilo doma , opazil prisebni sosed , ki je vdrl v stanovanje in ga pogasil .",0.0,0
OSVVSVOVV,1.0,"Tudi če bi jima to uspelo , bi se soočili z naslednjo težavo : krvne žile , ki povezujejo srce z drugimi organi , se ne bi imele kam priključiti .",0.0,0
OSVVSVSVSVOVOVOOV,0.0,0,1.0,eee Tukaj jih je profesor Zver informiral kako poteka eee zdravljenje v tem času eee kako skrbijo za to da je zdravljenje varno da je zdravstveno osebje eem eee kako skrbi za vse te varne razmere hkrati pa je bolnike spodbujal eee k pozitivnem eee k pozitivi a ne eem tudi vedno jim je posredoval vse kontaktne podatke kamor jih lahko kadarkoli pokličejo na eee telefonske številke skratka
OSVVSVVSV,1.0,"Do 19. ure so ga pazniki nadzirali vsakih nekaj minut , potem pa je prišla nova izmena , ki je morala tako kot vsak večer tudi takrat najprej preveriti , kaj se dogaja v drugih sobah v zgornjem nadstropju .",0.0,0
OSVVV,3.0,"Sicer nama to ni bilo všeč , vendar sva morala preživeti .",0.0,0
OSVVVO,1.0,"Biafri se upor ni izšel , po krvavi vojni in hudi lakoti se je morala spet podrediti osrednjim oblastem .",0.0,0
OSVVVOV,1.0,"Ker pa se mu folkloristi niso želeli odpovedati , so se odločili , da se bodo predstavili kot gojenci kazensko - poboljševalnega doma .",0.0,0
OSVVVOVVSV,0.0,0,1.0,tega psa to sem jaz hotela pofarbati glej to sem pa hotela grdo pofarbati pa to šlo ni
OSVVVS,0.0,0,1.0,ne če si jih ženske dajejo ne se tako pol počutijo pravijo znanstveniki
OSVVVSVOVS,1.0,"Čeprav nas žarki sonca ne bodo mogli ogreti , bo že njegova svetloba dovolj , da bomo pozabili na sivino , ki nas čaka , in tudi pogled na svet okoli nas bo veliko lepši .",0.0,0
OSVVVV,2.0,"Če dandanes tega nihče več noče priznati , potem je to zaradi sramu , ki preprečuje , da bi govorili o neuspehu .",0.0,0
OSVVVVO,1.0,"Če pa vam raziskovalni duh ne da posedati v sobi , se lahko podate po nakupih v bližnji največji pariški nakupovalni center Galeries Lafayette in v Printemps ali pa si v hotelski restavraciji privoščite najboljše specialitete francoske , italijanske , kitajske , tajske ali japonske kuhinje .",0.0,0
OV,307.0,Tega se sploh nisem zavedel .,209.0,pa da so se skrili pred plenilci
OVO,47.0,» V avtomobilski industriji se naključju ne prepušča nič .,11.0,in mi je ponudil petsto evrov
OVOOOOV,0.0,0,1.0,da ti čisti celice da s- ti zdravi celice da jih da v ravnovesje in antistres in tako naprej
OVOOSOV,0.0,0,1.0,pa ti bo vleklo ono v nos noter ti bo pa še ona zobke prala tako
OVOOSV,2.0,"Radi bi jim omogočili globlje razumevanje branega / videnega pa tudi uprizoritveno nadgrajevanje , ki si ga mnogi tako želijo .",0.0,0
OVOOSVOVV,1.0,"V pomoč nežnejšemu spolu pri odkrivanju skrivnosti moškega spola vam danes ponujamo seznam osmih moških navad , ki se jim močnejši spol praviloma ni pripravljen odreči ali jih spremeniti , marveč vztraja pri njih z nonšalatnimi izgovori , argumenti in opravičili .",0.0,0
OVOOSVV,2.0,"Toda če si zlomim vrat , ga boš ti , Buzzetti , moral naravnati .",0.0,0
OVOOSVVO,0.0,0,1.0,e z željo da nam daste nasvet kako eem kaj lahko skupnost bolnikov naredi da tukaj vendarle naredimo kakšen korak naprej
OVOOV,9.0,"Na mesec so mu plačali 735 evrov , polovico je dal za najemnino .",1.0,kaj finega boš eee pojedel v kruharni Izola lep dan ti želimo
OVOOVO,3.0,Tako naj bi trem hčeram siromašnega očeta ponoči skozi okno porinil tri kepe zlata in jim tako priskrbel potrebno doto .,0.0,0
OVOOVOVVSOVOVOVOVOVOVOOVOVO,1.0,"Ujetnikom so zavezali oči , jih prepasali z žico , jih spodvili v pozicijo fetusa , potem pa tekmovali , kdo jih bo vrgel dlje . . . ujetnike so "" med zasliševanji "" zvezane metali s helikopterjev . . . ujetnicam so s penisi "" preiskovali "" vagine , da bi videli , če slučajno kaj skrivajo . . . neki zajeti , smrtno ranjeni ženski so prebodli obe dojki , jo razkrečili in ji v vagino zabili najprej lopato , potem pa še drevesno vejo .",0.0,0
OVOOVS,1.0,"Še bolj so ji , kot smo omenili ( gl. Verstvo ) , ta vrata tudi med nižje sloje odpirali verski obredi in praznovanja .",0.0,0
