Tree	Transformed_Tree	One	Two	Three	Pattern	Corpus
Ali <nsubj srečala >obj čarodejke	['Ali <nsubj', 'srečala', '>obj čarodejke']	S	V	O	SVO	SSJ
Alice <nsubj izgubi >obj službo	['Alice <nsubj', 'izgubi', '>obj službo']	S	V	O	SVO	SSJ
Alkohol <nsubj ojači >obj delovanje	['Alkohol <nsubj', 'ojači', '>obj delovanje']	S	V	O	SVO	SSJ
Alkohol <nsubj škoduje >obj jetrom	['Alkohol <nsubj', 'škoduje', '>obj jetrom']	S	V	O	SVO	SSJ
Alma <nsubj bolezni <obj poznala	['Alma <nsubj', 'bolezni <obj', 'poznala']	S	O	V	SOV	SSJ
Američan <nsubj služil >obj kruh	['Američan <nsubj', 'služil', '>obj kruh']	S	V	O	SVO	SSJ
Američani <nsubj podpirajo >obj zamisel	['Američani <nsubj', 'podpirajo', '>obj zamisel']	S	V	O	SVO	SSJ
Američani <nsubj porabijo >obj milijard	['Američani <nsubj', 'porabijo', '>obj milijard']	S	V	O	SVO	SSJ
Američani <nsubj razširili >obj pojem	['Američani <nsubj', 'razširili', '>obj pojem']	S	V	O	SVO	SSJ
Amfetamin <nsubj povzročijo >obj psihoze	['Amfetamin <nsubj', 'povzročijo', '>obj psihoze']	S	V	O	SVO	SSJ
Andraž <nsubj doživel >obj razočaranje	['Andraž <nsubj', 'doživel', '>obj razočaranje']	S	V	O	SVO	SSJ
Andreas <nsubj objavil >obj razmišljanje	['Andreas <nsubj', 'objavil', '>obj razmišljanje']	S	V	O	SVO	SSJ
Andreja <nsubj dobila >obj pohvalo	['Andreja <nsubj', 'dobila', '>obj pohvalo']	S	V	O	SVO	SSJ
André <nsubj eksperiment <obj ponovil	['André <nsubj', 'eksperiment <obj', 'ponovil']	S	O	V	SOV	SSJ
Angeloni <nsubj ugotovil >obj vzporednice	['Angeloni <nsubj', 'ugotovil', '>obj vzporednice']	S	V	O	SVO	SSJ
Anka <obj ubil >nsubj princ	['Anka <obj', 'ubil', '>nsubj princ']	O	V	S	OVS	SSJ
Anorgansko <nsubj sebi <obj zadošča	['Anorgansko <nsubj', 'sebi <obj', 'zadošča']	S	O	V	SOV	SSJ
Aplikacija <nsubj podpira >obj standarde	['Aplikacija <nsubj', 'podpira', '>obj standarde']	S	V	O	SVO	SSJ
Arabec <nsubj dostavil >obj paketov	['Arabec <nsubj', 'dostavil', '>obj paketov']	S	V	O	SVO	SSJ
Archie <nsubj zaprl >obj vrata	['Archie <nsubj', 'zaprl', '>obj vrata']	S	V	O	SVO	SSJ
Arhimed <nsubj opisal >obj zgradbo	['Arhimed <nsubj', 'opisal', '>obj zgradbo']	S	V	O	SVO	SSJ
Arhitekt <nsubj ga <obj našel	['Arhitekt <nsubj', 'ga <obj', 'našel']	S	O	V	SOV	SSJ
Atlantik <obj prečkalo >nsubj ljudi	['Atlantik <obj', 'prečkalo', '>nsubj ljudi']	O	V	S	OVS	SSJ
Austria <nsubj začela >obj priprave	['Austria <nsubj', 'začela', '>obj priprave']	S	V	O	SVO	SSJ
Avalon <nsubj jih <obj ščitila	['Avalon <nsubj', 'jih <obj', 'ščitila']	S	O	V	SOV	SSJ
Avditorij <nsubj izbere >obj prizorišče	['Avditorij <nsubj', 'izbere', '>obj prizorišče']	S	V	O	SVO	SSJ
Avgust <nsubj ohranil >obj republiko	['Avgust <nsubj', 'ohranil', '>obj republiko']	S	V	O	SVO	SSJ
Avstrija <nsubj izvedla >obj reform	['Avstrija <nsubj', 'izvedla', '>obj reform']	S	V	O	SVO	SSJ
Avstrijec <nsubj strelivo <obj prekril	['Avstrijec <nsubj', 'strelivo <obj', 'prekril']	S	O	V	SOV	SSJ
Avtobiografija <nsubj opisovala >obj dni	['Avtobiografija <nsubj', 'opisovala', '>obj dni']	S	V	O	SVO	SSJ
Avtomobil <nsubj pomeni >obj nič	['Avtomobil <nsubj', 'pomeni', '>obj nič']	S	V	O	SVO	SSJ
Avtomobili <nsubj imeli >obj tablic	['Avtomobili <nsubj', 'imeli', '>obj tablic']	S	V	O	SVO	SSJ
Avtor <nsubj Pisanice <obj postavlja	['Avtor <nsubj', 'Pisanice <obj', 'postavlja']	S	O	V	SOV	SSJ
Avtor <nsubj prejel >obj znak	['Avtor <nsubj', 'prejel', '>obj znak']	S	V	O	SVO	SSJ
Avtorji <nsubj pozornosti <obj posvetili	['Avtorji <nsubj', 'pozornosti <obj', 'posvetili']	S	O	V	SOV	SSJ
Avtorji <nsubj predstavili >obj model	['Avtorji <nsubj', 'predstavili', '>obj model']	S	V	O	SVO	SSJ
Avtorji <nsubj vsebini <obj posvečali	['Avtorji <nsubj', 'vsebini <obj', 'posvečali']	S	O	V	SOV	SSJ
BBC <nsubj iskal >obj poti	['BBC <nsubj', 'iskal', '>obj poti']	S	V	O	SVO	SSJ
BTF <nsubj ustanovila >obj center	['BTF <nsubj', 'ustanovila', '>obj center']	S	V	O	SVO	SSJ
Bakterije <nsubj povzročajo >obj tuberkulozo	['Bakterije <nsubj', 'povzročajo', '>obj tuberkulozo']	S	V	O	SVO	SSJ
Balzac <nsubj dela <obj strnil	['Balzac <nsubj', 'dela <obj', 'strnil']	S	O	V	SOV	SSJ
Banka <nsubj naredila >obj vse	['Banka <nsubj', 'naredila', '>obj vse']	S	V	O	SVO	SSJ
Barbarossa <nsubj pomolil >obj glavo	['Barbarossa <nsubj', 'pomolil', '>obj glavo']	S	V	O	SVO	SSJ
Barberis <nsubj očita >obj domišljije	['Barberis <nsubj', 'očita', '>obj domišljije']	S	V	O	SVO	SSJ
Barovič <nsubj podžupanovanje <obj ponudil	['Barovič <nsubj', 'podžupanovanje <obj', 'ponudil']	S	O	V	SOV	SSJ
Baumgartner <nsubj vzel >obj časa	['Baumgartner <nsubj', 'vzel', '>obj časa']	S	V	O	SVO	SSJ
Baško <nsubj pomežiknil >obj članom	['Baško <nsubj', 'pomežiknil', '>obj članom']	S	V	O	SVO	SSJ
Belokranjci <nsubj izobesili >obj zastav	['Belokranjci <nsubj', 'izobesili', '>obj zastav']	S	V	O	SVO	SSJ
Benetke <nsubj sklenile >obj premirje	['Benetke <nsubj', 'sklenile', '>obj premirje']	S	V	O	SVO	SSJ
Benetton <nsubj premagal >obj Scavolini	['Benetton <nsubj', 'premagal', '>obj Scavolini']	S	V	O	SVO	SSJ
Benz <nsubj dosegel >obj uspeh	['Benz <nsubj', 'dosegel', '>obj uspeh']	S	V	O	SVO	SSJ
Berberi <nsubj imajo >obj organizaciji	['Berberi <nsubj', 'imajo', '>obj organizaciji']	S	V	O	SVO	SSJ
Berenguier <nsubj imel >obj stikov	['Berenguier <nsubj', 'imel', '>obj stikov']	S	V	O	SVO	SSJ
Besedila <obj izbral >nsubj France	['Besedila <obj', 'izbral', '>nsubj France']	O	V	S	OVS	SSJ
Besedilo <nsubj mi <obj bilo	['Besedilo <nsubj', 'mi <obj', 'bilo']	S	O	V	SOV	SSJ
Bike <obj vzburijo >nsubj poljubi	['Bike <obj', 'vzburijo', '>nsubj poljubi']	O	V	S	OVS	SSJ
Bill <nsubj ima >obj odstotka	['Bill <nsubj', 'ima', '>obj odstotka']	S	V	O	SVO	SSJ
Bismarck <nsubj potreboval >obj odnose	['Bismarck <nsubj', 'potreboval', '>obj odnose']	S	V	O	SVO	SSJ
Bitka <nsubj prikazuje >obj bitko	['Bitka <nsubj', 'prikazuje', '>obj bitko']	S	V	O	SVO	SSJ
Bitko <obj omenjajo >nsubj viri	['Bitko <obj', 'omenjajo', '>nsubj viri']	O	V	S	OVS	SSJ
Blair <nsubj preložil >obj obisk	['Blair <nsubj', 'preložil', '>obj obisk']	S	V	O	SVO	SSJ
Blato <nsubj poškodujeta >obj plast	['Blato <nsubj', 'poškodujeta', '>obj plast']	S	V	O	SVO	SSJ
Blok <obj sestavljajo >nsubj elementi	['Blok <obj', 'sestavljajo', '>nsubj elementi']	O	V	S	OVS	SSJ
Bog <nsubj nagrajuje >obj dejanja	['Bog <nsubj', 'nagrajuje', '>obj dejanja']	S	V	O	SVO	SSJ
Bog <nsubj ohranja >obj stvari	['Bog <nsubj', 'ohranja', '>obj stvari']	S	V	O	SVO	SSJ
Bohemond <nsubj nadel >obj križ	['Bohemond <nsubj', 'nadel', '>obj križ']	S	V	O	SVO	SSJ
Bolezen <nsubj vznemirja >obj ljudi	['Bolezen <nsubj', 'vznemirja', '>obj ljudi']	S	V	O	SVO	SSJ
Bolezen <obj opisal >nsubj Carlos	['Bolezen <obj', 'opisal', '>nsubj Carlos']	O	V	S	OVS	SSJ
Bolnice <nsubj pridobijo >obj težo	['Bolnice <nsubj', 'pridobijo', '>obj težo']	S	V	O	SVO	SSJ
Bolnišnice <nsubj nimajo >obj opreme	['Bolnišnice <nsubj', 'nimajo', '>obj opreme']	S	V	O	SVO	SSJ
Bonnie <nsubj tega <obj naredila	['Bonnie <nsubj', 'tega <obj', 'naredila']	S	O	V	SOV	SSJ
Borland <nsubj JBX <obj pripeljal	['Borland <nsubj', 'JBX <obj', 'pripeljal']	S	O	V	SOV	SSJ
Borland <nsubj zahteval >obj denarja	['Borland <nsubj', 'zahteval', '>obj denarja']	S	V	O	SVO	SSJ
Božakovčani <nsubj postavili >obj dom	['Božakovčani <nsubj', 'postavili', '>obj dom']	S	V	O	SVO	SSJ
Božena <nsubj pripeljala >obj del	['Božena <nsubj', 'pripeljala', '>obj del']	S	V	O	SVO	SSJ
Branko <nsubj zarisal >obj klovna	['Branko <nsubj', 'zarisal', '>obj klovna']	S	V	O	SVO	SSJ
Brata <nsubj pripravila >obj jadrnici	['Brata <nsubj', 'pripravila', '>obj jadrnici']	S	V	O	SVO	SSJ
Brenčanje <nsubj zmoti >obj tišino	['Brenčanje <nsubj', 'zmoti', '>obj tišino']	S	V	O	SVO	SSJ
Britanci <nsubj obljubili >obj odškodnino	['Britanci <nsubj', 'obljubili', '>obj odškodnino']	S	V	O	SVO	SSJ
Britanija <nsubj sprejemala >obj politiko	['Britanija <nsubj', 'sprejemala', '>obj politiko']	S	V	O	SVO	SSJ
Brown <nsubj vprašal >obj žensko	['Brown <nsubj', 'vprašal', '>obj žensko']	S	V	O	SVO	SSJ
Brulc <nsubj jo <obj poslal	['Brulc <nsubj', 'jo <obj', 'poslal']	S	O	V	SOV	SSJ
Bruno <nsubj opazi >obj svetlolasko	['Bruno <nsubj', 'opazi', '>obj svetlolasko']	S	V	O	SVO	SSJ
Buildingi <nsubj odsevali >obj buildinge	['Buildingi <nsubj', 'odsevali', '>obj buildinge']	S	V	O	SVO	SSJ
Bush <nsubj izkoristil >obj prednost	['Bush <nsubj', 'izkoristil', '>obj prednost']	S	V	O	SVO	SSJ
Bush <nsubj nadaljuje >obj politiko	['Bush <nsubj', 'nadaljuje', '>obj politiko']	S	V	O	SVO	SSJ
Bush <nsubj pustil >obj prostora	['Bush <nsubj', 'pustil', '>obj prostora']	S	V	O	SVO	SSJ
Buzeka <obj sprejela >nsubj predsednik	['Buzeka <obj', 'sprejela', '>nsubj predsednik']	O	V	S	OVS	SSJ
Bučar <nsubj poudaril >obj potrebo	['Bučar <nsubj', 'poudaril', '>obj potrebo']	S	V	O	SVO	SSJ
CIL <nsubj obsega >obj knjig	['CIL <nsubj', 'obsega', '>obj knjig']	S	V	O	SVO	SSJ
Cankar <nsubj napisal >obj črtico	['Cankar <nsubj', 'napisal', '>obj črtico']	S	V	O	SVO	SSJ
Cankar <nsubj videl >obj sebe	['Cankar <nsubj', 'videl', '>obj sebe']	S	V	O	SVO	SSJ
Carlosa <obj podal >nsubj baritonist	['Carlosa <obj', 'podal', '>nsubj baritonist']	O	V	S	OVS	SSJ
Casagrande <nsubj zlomil >obj roko	['Casagrande <nsubj', 'zlomil', '>obj roko']	S	V	O	SVO	SSJ
Casanova <nsubj ceniti >obj strani	['Casanova <nsubj', 'ceniti', '>obj strani']	S	V	O	SVO	SSJ
Casanova <nsubj jo <obj povečal	['Casanova <nsubj', 'jo <obj', 'povečal']	S	O	V	SOV	SSJ
Casanova <nsubj navijal >obj glasbo	['Casanova <nsubj', 'navijal', '>obj glasbo']	S	V	O	SVO	SSJ
Catherine <nsubj izmislila >obj maše	['Catherine <nsubj', 'izmislila', '>obj maše']	S	V	O	SVO	SSJ
Celjan <nsubj izdelal >obj instrumente	['Celjan <nsubj', 'izdelal', '>obj instrumente']	S	V	O	SVO	SSJ
Celjani <nsubj izenačili >obj dosežek	['Celjani <nsubj', 'izenačili', '>obj dosežek']	S	V	O	SVO	SSJ
Celjanka <nsubj osvojili >obj naslov	['Celjanka <nsubj', 'osvojili', '>obj naslov']	S	V	O	SVO	SSJ
Celje <nsubj dobilo >obj savno	['Celje <nsubj', 'dobilo', '>obj savno']	S	V	O	SVO	SSJ
Cena <nsubj dosega >obj odstotkov	['Cena <nsubj', 'dosega', '>obj odstotkov']	S	V	O	SVO	SSJ
Centri <nsubj delijo >obj usodo	['Centri <nsubj', 'delijo', '>obj usodo']	S	V	O	SVO	SSJ
Cepivo <nsubj prepreči >obj pojav	['Cepivo <nsubj', 'prepreči', '>obj pojav']	S	V	O	SVO	SSJ
Cepljenje <nsubj znižalo >obj pogostnost	['Cepljenje <nsubj', 'znižalo', '>obj pogostnost']	S	V	O	SVO	SSJ
Cesta <nsubj nima >obj odsekov	['Cesta <nsubj', 'nima', '>obj odsekov']	S	V	O	SVO	SSJ
Cesta <nsubj omogočila >obj dostop	['Cesta <nsubj', 'omogočila', '>obj dostop']	S	V	O	SVO	SSJ
Cezar <nsubj vojake <obj plačeval	['Cezar <nsubj', 'vojake <obj', 'plačeval']	S	O	V	SOV	SSJ
Charlieja <obj pokliče >nsubj Liz	['Charlieja <obj', 'pokliče', '>nsubj Liz']	O	V	S	OVS	SSJ
Chen <nsubj povabil >obj anarhiste	['Chen <nsubj', 'povabil', '>obj anarhiste']	S	V	O	SVO	SSJ
Chopin <nsubj ustvarjal >obj skladbe	['Chopin <nsubj', 'ustvarjal', '>obj skladbe']	S	V	O	SVO	SSJ
Cik <nsubj krepi >obj telo	['Cik <nsubj', 'krepi', '>obj telo']	S	V	O	SVO	SSJ
Cilji <nsubj določajo >obj naloge	['Cilji <nsubj', 'določajo', '>obj naloge']	S	V	O	SVO	SSJ
Claude <nsubj podedoval >obj naziv	['Claude <nsubj', 'podedoval', '>obj naziv']	S	V	O	SVO	SSJ
Comet <nsubj podal >obj pritožbo	['Comet <nsubj', 'podal', '>obj pritožbo']	S	V	O	SVO	SSJ
Cooper <nsubj upošteval >obj primer	['Cooper <nsubj', 'upošteval', '>obj primer']	S	V	O	SVO	SSJ
CorelSCRIPT <nsubj omogoča >obj stopnjo	['CorelSCRIPT <nsubj', 'omogoča', '>obj stopnjo']	S	V	O	SVO	SSJ
Corneille <nsubj dilemo <obj postavil	['Corneille <nsubj', 'dilemo <obj', 'postavil']	S	O	V	SOV	SSJ
Cosworth <nsubj našel >obj kupca	['Cosworth <nsubj', 'našel', '>obj kupca']	S	V	O	SVO	SSJ
Cox <nsubj popravil >obj napak	['Cox <nsubj', 'popravil', '>obj napak']	S	V	O	SVO	SSJ
DDV <nsubj zagotovili >obj sredstev	['DDV <nsubj', 'zagotovili', '>obj sredstev']	S	V	O	SVO	SSJ
DELAVCI <nsubj REŠUJEJO >obj PROBLEME	['DELAVCI <nsubj', 'REŠUJEJO', '>obj PROBLEME']	S	V	O	SVO	SSJ
DELAVEC <nsubj SKLEPA >obj POGODBO	['DELAVEC <nsubj', 'SKLEPA', '>obj POGODBO']	S	V	O	SVO	SSJ
DELAVKA <nsubj IMA >obj PRAVICO	['DELAVKA <nsubj', 'IMA', '>obj PRAVICO']	S	V	O	SVO	SSJ
DELO <obj UREJALA >nsubj ZAKONODAJA	['DELO <obj', 'UREJALA', '>nsubj ZAKONODAJA']	O	V	S	OVS	SSJ
DURS <nsubj vračala >obj davek	['DURS <nsubj', 'vračala', '>obj davek']	S	V	O	SVO	SSJ
Damjana <obj čakajo >nsubj izzivi	['Damjana <obj', 'čakajo', '>nsubj izzivi']	O	V	S	OVS	SSJ
Dan <nsubj jo <obj odpeljal	['Dan <nsubj', 'jo <obj', 'odpeljal']	S	O	V	SOV	SSJ
Dandanašnji <nsubj sklope <obj kupijo	['Dandanašnji <nsubj', 'sklope <obj', 'kupijo']	S	O	V	SOV	SSJ
Davek <obj obračuna >nsubj organ	['Davek <obj', 'obračuna', '>nsubj organ']	O	V	S	OVS	SSJ
David <nsubj ga <obj prehiteva	['David <nsubj', 'ga <obj', 'prehiteva']	S	O	V	SOV	SSJ
David <nsubj mi <obj je	['David <nsubj', 'mi <obj', 'je']	S	O	V	SOV	SSJ
Dean <nsubj dobil >obj večino	['Dean <nsubj', 'dobil', '>obj večino']	S	V	O	SVO	SSJ
Debelost <nsubj povečuje >obj tveganje	['Debelost <nsubj', 'povečuje', '>obj tveganje']	S	V	O	SVO	SSJ
Debye <nsubj razvil >obj teorijo	['Debye <nsubj', 'razvil', '>obj teorijo']	S	V	O	SVO	SSJ
Dejan <nsubj podaljšali >obj bivanje	['Dejan <nsubj', 'podaljšali', '>obj bivanje']	S	V	O	SVO	SSJ
Dejstvo <nsubj pove >obj stvari	['Dejstvo <nsubj', 'pove', '>obj stvari']	S	V	O	SVO	SSJ
Dekle <nsubj zadevo <obj prijavilo	['Dekle <nsubj', 'zadevo <obj', 'prijavilo']	S	O	V	SOV	SSJ
Deklica <nsubj se <obj slekla	['Deklica <nsubj', 'se <obj', 'slekla']	S	O	V	SOV	SSJ
Delavci <nsubj postavili >obj kožarico	['Delavci <nsubj', 'postavili', '>obj kožarico']	S	V	O	SVO	SSJ
Delničarjih <nsubj potrdili >obj sklepe	['Delničarjih <nsubj', 'potrdili', '>obj sklepe']	S	V	O	SVO	SSJ
Delodajalca <obj zaskrbeti >nsubj begavost	['Delodajalca <obj', 'zaskrbeti', '>nsubj begavost']	O	V	S	OVS	SSJ
Delodajalci <nsubj želimo >obj mehanizme	['Delodajalci <nsubj', 'želimo', '>obj mehanizme']	S	V	O	SVO	SSJ
Denar <nsubj omogoča >obj strasti	['Denar <nsubj', 'omogoča', '>obj strasti']	S	V	O	SVO	SSJ
Denar <nsubj povzročal >obj težav	['Denar <nsubj', 'povzročal', '>obj težav']	S	V	O	SVO	SSJ
Diego <nsubj potegnil >obj zadrgo	['Diego <nsubj', 'potegnil', '>obj zadrgo']	S	V	O	SVO	SSJ
Dietrich <nsubj jo <obj osvobodil	['Dietrich <nsubj', 'jo <obj', 'osvobodil']	S	O	V	SOV	SSJ
Dijaki <nsubj ocenijo >obj besedilo	['Dijaki <nsubj', 'ocenijo', '>obj besedilo']	S	V	O	SVO	SSJ
Dijaki <nsubj prikažejo >obj poznavanje	['Dijaki <nsubj', 'prikažejo', '>obj poznavanje']	S	V	O	SVO	SSJ
Diktatura <nsubj dovoljevala >obj manifestacij	['Diktatura <nsubj', 'dovoljevala', '>obj manifestacij']	S	V	O	SVO	SSJ
Dimitrij <nsubj predstavil >obj sistem	['Dimitrij <nsubj', 'predstavil', '>obj sistem']	S	V	O	SVO	SSJ
Direktor <nsubj ime <obj spremenil	['Direktor <nsubj', 'ime <obj', 'spremenil']	S	O	V	SOV	SSJ
Direktor <nsubj napovedal >obj izdelke	['Direktor <nsubj', 'napovedal', '>obj izdelke']	S	V	O	SVO	SSJ
Dnevnik <nsubj tega <obj objavili	['Dnevnik <nsubj', 'tega <obj', 'objavili']	S	O	V	SOV	SSJ
Doc <nsubj nastavi >obj datum	['Doc <nsubj', 'nastavi', '>obj datum']	S	V	O	SVO	SSJ
Dogajanje <nsubj bližalo >obj koncu	['Dogajanje <nsubj', 'bližalo', '>obj koncu']	S	V	O	SVO	SSJ
Dokazila <nsubj dajejo >obj odgovore	['Dokazila <nsubj', 'dajejo', '>obj odgovore']	S	V	O	SVO	SSJ
Dolenc <nsubj izzval >obj Rečičane	['Dolenc <nsubj', 'izzval', '>obj Rečičane']	S	V	O	SVO	SSJ
Dolino <obj zagrnila >nsubj noč	['Dolino <obj', 'zagrnila', '>nsubj noč']	O	V	S	OVS	SSJ
Domačini <nsubj cesto <obj obnovili	['Domačini <nsubj', 'cesto <obj', 'obnovili']	S	O	V	SOV	SSJ
Domačini <nsubj opazili >obj letala	['Domačini <nsubj', 'opazili', '>obj letala']	S	V	O	SVO	SSJ
Don <nsubj bral >obj imena	['Don <nsubj', 'bral', '>obj imena']	S	V	O	SVO	SSJ
Dostop <obj imajo >nsubj organi	['Dostop <obj', 'imajo', '>nsubj organi']	O	V	S	OVS	SSJ
Drnovšek <nsubj izsilil >obj profesionalizacijo	['Drnovšek <nsubj', 'izsilil', '>obj profesionalizacijo']	S	V	O	SVO	SSJ
Drobnoživke <nsubj odpadke <obj predelajo	['Drobnoživke <nsubj', 'odpadke <obj', 'predelajo']	S	O	V	SOV	SSJ
Drow <nsubj opazil >obj oblak	['Drow <nsubj', 'opazil', '>obj oblak']	S	V	O	SVO	SSJ
Druge <obj bog <nsubj obvaroval	['Druge <obj', 'bog <nsubj', 'obvaroval']	O	S	V	OSV	SSJ
Družba <nsubj ima >obj pravico	['Družba <nsubj', 'ima', '>obj pravico']	S	V	O	SVO	SSJ
Družba <nsubj nima >obj ustave	['Družba <nsubj', 'nima', '>obj ustave']	S	V	O	SVO	SSJ
Družba <nsubj odtegnila >obj akontacijo	['Družba <nsubj', 'odtegnila', '>obj akontacijo']	S	V	O	SVO	SSJ
Družba <nsubj prevzela >obj Gradis	['Družba <nsubj', 'prevzela', '>obj Gradis']	S	V	O	SVO	SSJ
Družba <nsubj sprejela >obj ukrepov	['Družba <nsubj', 'sprejela', '>obj ukrepov']	S	V	O	SVO	SSJ
Država <nsubj bližala >obj bankrotu	['Država <nsubj', 'bližala', '>obj bankrotu']	S	V	O	SVO	SSJ
Država <nsubj očitke <obj požre	['Država <nsubj', 'očitke <obj', 'požre']	S	O	V	SOV	SSJ
Države <nsubj imenujejo >obj organe	['Države <nsubj', 'imenujejo', '>obj organe']	S	V	O	SVO	SSJ
Države <nsubj načrtujejo >obj programe	['Države <nsubj', 'načrtujejo', '>obj programe']	S	V	O	SVO	SSJ
Duh <nsubj odgnal >obj alkoholike	['Duh <nsubj', 'odgnal', '>obj alkoholike']	S	V	O	SVO	SSJ
Duh <nsubj potrebuje >obj pomoč	['Duh <nsubj', 'potrebuje', '>obj pomoč']	S	V	O	SVO	SSJ
Dunaj <obj imenujejo >nsubj narodi	['Dunaj <obj', 'imenujejo', '>nsubj narodi']	O	V	S	OVS	SSJ
Dušan <nsubj igral >obj igrice	['Dušan <nsubj', 'igral', '>obj igrice']	S	V	O	SVO	SSJ
Dušan <nsubj ima >obj vikend	['Dušan <nsubj', 'ima', '>obj vikend']	S	V	O	SVO	SSJ
Dušan <nsubj odprl >obj poti	['Dušan <nsubj', 'odprl', '>obj poti']	S	V	O	SVO	SSJ
Dvig <nsubj naredil >obj potoke	['Dvig <nsubj', 'naredil', '>obj potoke']	S	V	O	SVO	SSJ
Dvojica <nsubj postavila >obj rekord	['Dvojica <nsubj', 'postavila', '>obj rekord']	S	V	O	SVO	SSJ
Dvojčki <nsubj imajo >obj odnos	['Dvojčki <nsubj', 'imajo', '>obj odnos']	S	V	O	SVO	SSJ
Dvojčki <nsubj ljubijo >obj klepet	['Dvojčki <nsubj', 'ljubijo', '>obj klepet']	S	V	O	SVO	SSJ
Dvojčki <nsubj vas <obj presenetili	['Dvojčki <nsubj', 'vas <obj', 'presenetili']	S	O	V	SOV	SSJ
Dvorec <nsubj menjal >obj lastnike	['Dvorec <nsubj', 'menjal', '>obj lastnike']	S	V	O	SVO	SSJ
EUA <nsubj sprejela >obj odgovor	['EUA <nsubj', 'sprejela', '>obj odgovor']	S	V	O	SVO	SSJ
EUA <nsubj začela >obj priprave	['EUA <nsubj', 'začela', '>obj priprave']	S	V	O	SVO	SSJ
Eden <nsubj zagrešil >obj napako	['Eden <nsubj', 'zagrešil', '>obj napako']	S	V	O	SVO	SSJ
Ekranizacije <nsubj dajo >obj raison	['Ekranizacije <nsubj', 'dajo', '>obj raison']	S	V	O	SVO	SSJ
Elizabeta <nsubj imela >obj nagovor	['Elizabeta <nsubj', 'imela', '>obj nagovor']	S	V	O	SVO	SSJ
