Tree	Transformed_Tree	One	Two	Three	Pattern
Američani <nsubj podpirajo >obj zamisel	['Američani <nsubj', 'podpirajo', '>obj zamisel']	S	V	O	SVO
Američani <nsubj porabijo >obj milijard	['Američani <nsubj', 'porabijo', '>obj milijard']	S	V	O	SVO
Američani <nsubj razširili >obj pojem	['Američani <nsubj', 'razširili', '>obj pojem']	S	V	O	SVO
Amfetamin <nsubj povzročijo >obj psihoze	['Amfetamin <nsubj', 'povzročijo', '>obj psihoze']	S	V	O	SVO
Andraž <nsubj doživel >obj razočaranje	['Andraž <nsubj', 'doživel', '>obj razočaranje']	S	V	O	SVO
Andreas <nsubj objavil >obj razmišljanje	['Andreas <nsubj', 'objavil', '>obj razmišljanje']	S	V	O	SVO
Andreja <nsubj dobila >obj pohvalo	['Andreja <nsubj', 'dobila', '>obj pohvalo']	S	V	O	SVO
André <nsubj eksperiment <obj ponovil	['André <nsubj', 'eksperiment <obj', 'ponovil']	S	O	V	SOV
Angeloni <nsubj ugotovil >obj vzporednice	['Angeloni <nsubj', 'ugotovil', '>obj vzporednice']	S	V	O	SVO
Anka <obj ubil >nsubj princ	['Anka <obj', 'ubil', '>nsubj princ']	O	V	S	OVS
Anorgansko <nsubj sebi <obj zadošča	['Anorgansko <nsubj', 'sebi <obj', 'zadošča']	S	O	V	SOV
Aplikacija <nsubj podpira >obj standarde	['Aplikacija <nsubj', 'podpira', '>obj standarde']	S	V	O	SVO
Arabec <nsubj dostavil >obj paketov	['Arabec <nsubj', 'dostavil', '>obj paketov']	S	V	O	SVO
Archie <nsubj zaprl >obj vrata	['Archie <nsubj', 'zaprl', '>obj vrata']	S	V	O	SVO
Arhimed <nsubj opisal >obj zgradbo	['Arhimed <nsubj', 'opisal', '>obj zgradbo']	S	V	O	SVO
Arhitekt <nsubj ga <obj našel	['Arhitekt <nsubj', 'ga <obj', 'našel']	S	O	V	SOV
Atlantik <obj prečkalo >nsubj ljudi	['Atlantik <obj', 'prečkalo', '>nsubj ljudi']	O	V	S	OVS
Austria <nsubj začela >obj priprave	['Austria <nsubj', 'začela', '>obj priprave']	S	V	O	SVO
Avalon <nsubj jih <obj ščitila	['Avalon <nsubj', 'jih <obj', 'ščitila']	S	O	V	SOV
Avditorij <nsubj izbere >obj prizorišče	['Avditorij <nsubj', 'izbere', '>obj prizorišče']	S	V	O	SVO
Avgust <nsubj ohranil >obj republiko	['Avgust <nsubj', 'ohranil', '>obj republiko']	S	V	O	SVO
Avstrija <nsubj izvedla >obj reform	['Avstrija <nsubj', 'izvedla', '>obj reform']	S	V	O	SVO
Avstrijec <nsubj strelivo <obj prekril	['Avstrijec <nsubj', 'strelivo <obj', 'prekril']	S	O	V	SOV
Avtobiografija <nsubj opisovala >obj dni	['Avtobiografija <nsubj', 'opisovala', '>obj dni']	S	V	O	SVO
Avtomobil <nsubj pomeni >obj nič	['Avtomobil <nsubj', 'pomeni', '>obj nič']	S	V	O	SVO
Avtomobili <nsubj imeli >obj tablic	['Avtomobili <nsubj', 'imeli', '>obj tablic']	S	V	O	SVO
Avtor <nsubj Pisanice <obj postavlja	['Avtor <nsubj', 'Pisanice <obj', 'postavlja']	S	O	V	SOV
Avtor <nsubj prejel >obj znak	['Avtor <nsubj', 'prejel', '>obj znak']	S	V	O	SVO
Avtorji <nsubj pozornosti <obj posvetili	['Avtorji <nsubj', 'pozornosti <obj', 'posvetili']	S	O	V	SOV
Avtorji <nsubj predstavili >obj model	['Avtorji <nsubj', 'predstavili', '>obj model']	S	V	O	SVO
Avtorji <nsubj vsebini <obj posvečali	['Avtorji <nsubj', 'vsebini <obj', 'posvečali']	S	O	V	SOV
BBC <nsubj iskal >obj poti	['BBC <nsubj', 'iskal', '>obj poti']	S	V	O	SVO
BTF <nsubj ustanovila >obj center	['BTF <nsubj', 'ustanovila', '>obj center']	S	V	O	SVO
Bakterije <nsubj povzročajo >obj tuberkulozo	['Bakterije <nsubj', 'povzročajo', '>obj tuberkulozo']	S	V	O	SVO
Balzac <nsubj dela <obj strnil	['Balzac <nsubj', 'dela <obj', 'strnil']	S	O	V	SOV
Banka <nsubj naredila >obj vse	['Banka <nsubj', 'naredila', '>obj vse']	S	V	O	SVO
Barbarossa <nsubj pomolil >obj glavo	['Barbarossa <nsubj', 'pomolil', '>obj glavo']	S	V	O	SVO
Barberis <nsubj očita >obj domišljije	['Barberis <nsubj', 'očita', '>obj domišljije']	S	V	O	SVO
Barovič <nsubj podžupanovanje <obj ponudil	['Barovič <nsubj', 'podžupanovanje <obj', 'ponudil']	S	O	V	SOV
Baumgartner <nsubj vzel >obj časa	['Baumgartner <nsubj', 'vzel', '>obj časa']	S	V	O	SVO
Baško <nsubj pomežiknil >obj članom	['Baško <nsubj', 'pomežiknil', '>obj članom']	S	V	O	SVO
Belokranjci <nsubj izobesili >obj zastav	['Belokranjci <nsubj', 'izobesili', '>obj zastav']	S	V	O	SVO
Benetke <nsubj sklenile >obj premirje	['Benetke <nsubj', 'sklenile', '>obj premirje']	S	V	O	SVO
Benetton <nsubj premagal >obj Scavolini	['Benetton <nsubj', 'premagal', '>obj Scavolini']	S	V	O	SVO
Benz <nsubj dosegel >obj uspeh	['Benz <nsubj', 'dosegel', '>obj uspeh']	S	V	O	SVO
Berberi <nsubj imajo >obj organizaciji	['Berberi <nsubj', 'imajo', '>obj organizaciji']	S	V	O	SVO
Berenguier <nsubj imel >obj stikov	['Berenguier <nsubj', 'imel', '>obj stikov']	S	V	O	SVO
Besedila <obj izbral >nsubj France	['Besedila <obj', 'izbral', '>nsubj France']	O	V	S	OVS
Besedilo <nsubj mi <obj bilo	['Besedilo <nsubj', 'mi <obj', 'bilo']	S	O	V	SOV
Bike <obj vzburijo >nsubj poljubi	['Bike <obj', 'vzburijo', '>nsubj poljubi']	O	V	S	OVS
Bill <nsubj ima >obj odstotka	['Bill <nsubj', 'ima', '>obj odstotka']	S	V	O	SVO
Bismarck <nsubj potreboval >obj odnose	['Bismarck <nsubj', 'potreboval', '>obj odnose']	S	V	O	SVO
Bitka <nsubj prikazuje >obj bitko	['Bitka <nsubj', 'prikazuje', '>obj bitko']	S	V	O	SVO
Bitko <obj omenjajo >nsubj viri	['Bitko <obj', 'omenjajo', '>nsubj viri']	O	V	S	OVS
Blair <nsubj preložil >obj obisk	['Blair <nsubj', 'preložil', '>obj obisk']	S	V	O	SVO
Blato <nsubj poškodujeta >obj plast	['Blato <nsubj', 'poškodujeta', '>obj plast']	S	V	O	SVO
Blok <obj sestavljajo >nsubj elementi	['Blok <obj', 'sestavljajo', '>nsubj elementi']	O	V	S	OVS
Bog <nsubj nagrajuje >obj dejanja	['Bog <nsubj', 'nagrajuje', '>obj dejanja']	S	V	O	SVO
Bog <nsubj ohranja >obj stvari	['Bog <nsubj', 'ohranja', '>obj stvari']	S	V	O	SVO
Bohemond <nsubj nadel >obj križ	['Bohemond <nsubj', 'nadel', '>obj križ']	S	V	O	SVO
Bolezen <nsubj vznemirja >obj ljudi	['Bolezen <nsubj', 'vznemirja', '>obj ljudi']	S	V	O	SVO
Bolezen <obj opisal >nsubj Carlos	['Bolezen <obj', 'opisal', '>nsubj Carlos']	O	V	S	OVS
Bolnice <nsubj pridobijo >obj težo	['Bolnice <nsubj', 'pridobijo', '>obj težo']	S	V	O	SVO
Bolnišnice <nsubj nimajo >obj opreme	['Bolnišnice <nsubj', 'nimajo', '>obj opreme']	S	V	O	SVO
Bonnie <nsubj tega <obj naredila	['Bonnie <nsubj', 'tega <obj', 'naredila']	S	O	V	SOV
Borland <nsubj JBX <obj pripeljal	['Borland <nsubj', 'JBX <obj', 'pripeljal']	S	O	V	SOV
Borland <nsubj zahteval >obj denarja	['Borland <nsubj', 'zahteval', '>obj denarja']	S	V	O	SVO
Božakovčani <nsubj postavili >obj dom	['Božakovčani <nsubj', 'postavili', '>obj dom']	S	V	O	SVO
Božena <nsubj pripeljala >obj del	['Božena <nsubj', 'pripeljala', '>obj del']	S	V	O	SVO
Branko <nsubj zarisal >obj klovna	['Branko <nsubj', 'zarisal', '>obj klovna']	S	V	O	SVO
Brata <nsubj pripravila >obj jadrnici	['Brata <nsubj', 'pripravila', '>obj jadrnici']	S	V	O	SVO
Brenčanje <nsubj zmoti >obj tišino	['Brenčanje <nsubj', 'zmoti', '>obj tišino']	S	V	O	SVO
Britanci <nsubj obljubili >obj odškodnino	['Britanci <nsubj', 'obljubili', '>obj odškodnino']	S	V	O	SVO
Britanija <nsubj sprejemala >obj politiko	['Britanija <nsubj', 'sprejemala', '>obj politiko']	S	V	O	SVO
Brown <nsubj vprašal >obj žensko	['Brown <nsubj', 'vprašal', '>obj žensko']	S	V	O	SVO
Brulc <nsubj jo <obj poslal	['Brulc <nsubj', 'jo <obj', 'poslal']	S	O	V	SOV
Bruno <nsubj opazi >obj svetlolasko	['Bruno <nsubj', 'opazi', '>obj svetlolasko']	S	V	O	SVO
Buildingi <nsubj odsevali >obj buildinge	['Buildingi <nsubj', 'odsevali', '>obj buildinge']	S	V	O	SVO
Bush <nsubj izkoristil >obj prednost	['Bush <nsubj', 'izkoristil', '>obj prednost']	S	V	O	SVO
Bush <nsubj nadaljuje >obj politiko	['Bush <nsubj', 'nadaljuje', '>obj politiko']	S	V	O	SVO
Bush <nsubj pustil >obj prostora	['Bush <nsubj', 'pustil', '>obj prostora']	S	V	O	SVO
Buzeka <obj sprejela >nsubj predsednik	['Buzeka <obj', 'sprejela', '>nsubj predsednik']	O	V	S	OVS
Bučar <nsubj poudaril >obj potrebo	['Bučar <nsubj', 'poudaril', '>obj potrebo']	S	V	O	SVO
CIL <nsubj obsega >obj knjig	['CIL <nsubj', 'obsega', '>obj knjig']	S	V	O	SVO
Cankar <nsubj napisal >obj črtico	['Cankar <nsubj', 'napisal', '>obj črtico']	S	V	O	SVO
Cankar <nsubj videl >obj sebe	['Cankar <nsubj', 'videl', '>obj sebe']	S	V	O	SVO
Carlosa <obj podal >nsubj baritonist	['Carlosa <obj', 'podal', '>nsubj baritonist']	O	V	S	OVS
Casagrande <nsubj zlomil >obj roko	['Casagrande <nsubj', 'zlomil', '>obj roko']	S	V	O	SVO
Casanova <nsubj ceniti >obj strani	['Casanova <nsubj', 'ceniti', '>obj strani']	S	V	O	SVO
Casanova <nsubj jo <obj povečal	['Casanova <nsubj', 'jo <obj', 'povečal']	S	O	V	SOV
Casanova <nsubj navijal >obj glasbo	['Casanova <nsubj', 'navijal', '>obj glasbo']	S	V	O	SVO
Catherine <nsubj izmislila >obj maše	['Catherine <nsubj', 'izmislila', '>obj maše']	S	V	O	SVO
Celjan <nsubj izdelal >obj instrumente	['Celjan <nsubj', 'izdelal', '>obj instrumente']	S	V	O	SVO
Celjani <nsubj izenačili >obj dosežek	['Celjani <nsubj', 'izenačili', '>obj dosežek']	S	V	O	SVO
Celjanka <nsubj osvojili >obj naslov	['Celjanka <nsubj', 'osvojili', '>obj naslov']	S	V	O	SVO
Celje <nsubj dobilo >obj savno	['Celje <nsubj', 'dobilo', '>obj savno']	S	V	O	SVO
Cena <nsubj dosega >obj odstotkov	['Cena <nsubj', 'dosega', '>obj odstotkov']	S	V	O	SVO
Centri <nsubj delijo >obj usodo	['Centri <nsubj', 'delijo', '>obj usodo']	S	V	O	SVO
Cepivo <nsubj prepreči >obj pojav	['Cepivo <nsubj', 'prepreči', '>obj pojav']	S	V	O	SVO
Cepljenje <nsubj znižalo >obj pogostnost	['Cepljenje <nsubj', 'znižalo', '>obj pogostnost']	S	V	O	SVO
Cesta <nsubj nima >obj odsekov	['Cesta <nsubj', 'nima', '>obj odsekov']	S	V	O	SVO
Cesta <nsubj omogočila >obj dostop	['Cesta <nsubj', 'omogočila', '>obj dostop']	S	V	O	SVO
Cezar <nsubj vojake <obj plačeval	['Cezar <nsubj', 'vojake <obj', 'plačeval']	S	O	V	SOV
Charlieja <obj pokliče >nsubj Liz	['Charlieja <obj', 'pokliče', '>nsubj Liz']	O	V	S	OVS
Chen <nsubj povabil >obj anarhiste	['Chen <nsubj', 'povabil', '>obj anarhiste']	S	V	O	SVO
Chopin <nsubj ustvarjal >obj skladbe	['Chopin <nsubj', 'ustvarjal', '>obj skladbe']	S	V	O	SVO
Cik <nsubj krepi >obj telo	['Cik <nsubj', 'krepi', '>obj telo']	S	V	O	SVO
Cilji <nsubj določajo >obj naloge	['Cilji <nsubj', 'določajo', '>obj naloge']	S	V	O	SVO
Claude <nsubj podedoval >obj naziv	['Claude <nsubj', 'podedoval', '>obj naziv']	S	V	O	SVO
Comet <nsubj podal >obj pritožbo	['Comet <nsubj', 'podal', '>obj pritožbo']	S	V	O	SVO
Cooper <nsubj upošteval >obj primer	['Cooper <nsubj', 'upošteval', '>obj primer']	S	V	O	SVO
CorelSCRIPT <nsubj omogoča >obj stopnjo	['CorelSCRIPT <nsubj', 'omogoča', '>obj stopnjo']	S	V	O	SVO
Corneille <nsubj dilemo <obj postavil	['Corneille <nsubj', 'dilemo <obj', 'postavil']	S	O	V	SOV
Cosworth <nsubj našel >obj kupca	['Cosworth <nsubj', 'našel', '>obj kupca']	S	V	O	SVO
Cox <nsubj popravil >obj napak	['Cox <nsubj', 'popravil', '>obj napak']	S	V	O	SVO
DDV <nsubj zagotovili >obj sredstev	['DDV <nsubj', 'zagotovili', '>obj sredstev']	S	V	O	SVO
DELAVCI <nsubj REŠUJEJO >obj PROBLEME	['DELAVCI <nsubj', 'REŠUJEJO', '>obj PROBLEME']	S	V	O	SVO
DELAVEC <nsubj SKLEPA >obj POGODBO	['DELAVEC <nsubj', 'SKLEPA', '>obj POGODBO']	S	V	O	SVO
DELAVKA <nsubj IMA >obj PRAVICO	['DELAVKA <nsubj', 'IMA', '>obj PRAVICO']	S	V	O	SVO
DELO <obj UREJALA >nsubj ZAKONODAJA	['DELO <obj', 'UREJALA', '>nsubj ZAKONODAJA']	O	V	S	OVS
DURS <nsubj vračala >obj davek	['DURS <nsubj', 'vračala', '>obj davek']	S	V	O	SVO
Damjana <obj čakajo >nsubj izzivi	['Damjana <obj', 'čakajo', '>nsubj izzivi']	O	V	S	OVS
Dan <nsubj jo <obj odpeljal	['Dan <nsubj', 'jo <obj', 'odpeljal']	S	O	V	SOV
Dandanašnji <nsubj sklope <obj kupijo	['Dandanašnji <nsubj', 'sklope <obj', 'kupijo']	S	O	V	SOV
Davek <obj obračuna >nsubj organ	['Davek <obj', 'obračuna', '>nsubj organ']	O	V	S	OVS
David <nsubj ga <obj prehiteva	['David <nsubj', 'ga <obj', 'prehiteva']	S	O	V	SOV
David <nsubj mi <obj je	['David <nsubj', 'mi <obj', 'je']	S	O	V	SOV
Dean <nsubj dobil >obj večino	['Dean <nsubj', 'dobil', '>obj večino']	S	V	O	SVO
Debelost <nsubj povečuje >obj tveganje	['Debelost <nsubj', 'povečuje', '>obj tveganje']	S	V	O	SVO
Debye <nsubj razvil >obj teorijo	['Debye <nsubj', 'razvil', '>obj teorijo']	S	V	O	SVO
Dejan <nsubj podaljšali >obj bivanje	['Dejan <nsubj', 'podaljšali', '>obj bivanje']	S	V	O	SVO
Dejstvo <nsubj pove >obj stvari	['Dejstvo <nsubj', 'pove', '>obj stvari']	S	V	O	SVO
Dekle <nsubj zadevo <obj prijavilo	['Dekle <nsubj', 'zadevo <obj', 'prijavilo']	S	O	V	SOV
Deklica <nsubj se <obj slekla	['Deklica <nsubj', 'se <obj', 'slekla']	S	O	V	SOV
Delavci <nsubj postavili >obj kožarico	['Delavci <nsubj', 'postavili', '>obj kožarico']	S	V	O	SVO
Delničarjih <nsubj potrdili >obj sklepe	['Delničarjih <nsubj', 'potrdili', '>obj sklepe']	S	V	O	SVO
Delodajalca <obj zaskrbeti >nsubj begavost	['Delodajalca <obj', 'zaskrbeti', '>nsubj begavost']	O	V	S	OVS
Delodajalci <nsubj želimo >obj mehanizme	['Delodajalci <nsubj', 'želimo', '>obj mehanizme']	S	V	O	SVO
Denar <nsubj omogoča >obj strasti	['Denar <nsubj', 'omogoča', '>obj strasti']	S	V	O	SVO
Denar <nsubj povzročal >obj težav	['Denar <nsubj', 'povzročal', '>obj težav']	S	V	O	SVO
Diego <nsubj potegnil >obj zadrgo	['Diego <nsubj', 'potegnil', '>obj zadrgo']	S	V	O	SVO
Dietrich <nsubj jo <obj osvobodil	['Dietrich <nsubj', 'jo <obj', 'osvobodil']	S	O	V	SOV
Dijaki <nsubj ocenijo >obj besedilo	['Dijaki <nsubj', 'ocenijo', '>obj besedilo']	S	V	O	SVO
Dijaki <nsubj prikažejo >obj poznavanje	['Dijaki <nsubj', 'prikažejo', '>obj poznavanje']	S	V	O	SVO
Diktatura <nsubj dovoljevala >obj manifestacij	['Diktatura <nsubj', 'dovoljevala', '>obj manifestacij']	S	V	O	SVO
Dimitrij <nsubj predstavil >obj sistem	['Dimitrij <nsubj', 'predstavil', '>obj sistem']	S	V	O	SVO
Direktor <nsubj ime <obj spremenil	['Direktor <nsubj', 'ime <obj', 'spremenil']	S	O	V	SOV
Direktor <nsubj napovedal >obj izdelke	['Direktor <nsubj', 'napovedal', '>obj izdelke']	S	V	O	SVO
Dnevnik <nsubj tega <obj objavili	['Dnevnik <nsubj', 'tega <obj', 'objavili']	S	O	V	SOV
Doc <nsubj nastavi >obj datum	['Doc <nsubj', 'nastavi', '>obj datum']	S	V	O	SVO
Dogajanje <nsubj bližalo >obj koncu	['Dogajanje <nsubj', 'bližalo', '>obj koncu']	S	V	O	SVO
Dokazila <nsubj dajejo >obj odgovore	['Dokazila <nsubj', 'dajejo', '>obj odgovore']	S	V	O	SVO
Dolenc <nsubj izzval >obj Rečičane	['Dolenc <nsubj', 'izzval', '>obj Rečičane']	S	V	O	SVO
Dolino <obj zagrnila >nsubj noč	['Dolino <obj', 'zagrnila', '>nsubj noč']	O	V	S	OVS
Domačini <nsubj cesto <obj obnovili	['Domačini <nsubj', 'cesto <obj', 'obnovili']	S	O	V	SOV
Domačini <nsubj opazili >obj letala	['Domačini <nsubj', 'opazili', '>obj letala']	S	V	O	SVO
Don <nsubj bral >obj imena	['Don <nsubj', 'bral', '>obj imena']	S	V	O	SVO
Dostop <obj imajo >nsubj organi	['Dostop <obj', 'imajo', '>nsubj organi']	O	V	S	OVS
Drnovšek <nsubj izsilil >obj profesionalizacijo	['Drnovšek <nsubj', 'izsilil', '>obj profesionalizacijo']	S	V	O	SVO
Drobnoživke <nsubj odpadke <obj predelajo	['Drobnoživke <nsubj', 'odpadke <obj', 'predelajo']	S	O	V	SOV
Drow <nsubj opazil >obj oblak	['Drow <nsubj', 'opazil', '>obj oblak']	S	V	O	SVO
Druge <obj bog <nsubj obvaroval	['Druge <obj', 'bog <nsubj', 'obvaroval']	O	S	V	OSV
Družba <nsubj ima >obj pravico	['Družba <nsubj', 'ima', '>obj pravico']	S	V	O	SVO
Družba <nsubj nima >obj ustave	['Družba <nsubj', 'nima', '>obj ustave']	S	V	O	SVO
Družba <nsubj odtegnila >obj akontacijo	['Družba <nsubj', 'odtegnila', '>obj akontacijo']	S	V	O	SVO
Družba <nsubj prevzela >obj Gradis	['Družba <nsubj', 'prevzela', '>obj Gradis']	S	V	O	SVO
Družba <nsubj sprejela >obj ukrepov	['Družba <nsubj', 'sprejela', '>obj ukrepov']	S	V	O	SVO
Država <nsubj bližala >obj bankrotu	['Država <nsubj', 'bližala', '>obj bankrotu']	S	V	O	SVO
Država <nsubj očitke <obj požre	['Država <nsubj', 'očitke <obj', 'požre']	S	O	V	SOV
Države <nsubj imenujejo >obj organe	['Države <nsubj', 'imenujejo', '>obj organe']	S	V	O	SVO
Države <nsubj načrtujejo >obj programe	['Države <nsubj', 'načrtujejo', '>obj programe']	S	V	O	SVO
Duh <nsubj odgnal >obj alkoholike	['Duh <nsubj', 'odgnal', '>obj alkoholike']	S	V	O	SVO
Duh <nsubj potrebuje >obj pomoč	['Duh <nsubj', 'potrebuje', '>obj pomoč']	S	V	O	SVO
Dunaj <obj imenujejo >nsubj narodi	['Dunaj <obj', 'imenujejo', '>nsubj narodi']	O	V	S	OVS
Dušan <nsubj igral >obj igrice	['Dušan <nsubj', 'igral', '>obj igrice']	S	V	O	SVO
Dušan <nsubj ima >obj vikend	['Dušan <nsubj', 'ima', '>obj vikend']	S	V	O	SVO
Dušan <nsubj odprl >obj poti	['Dušan <nsubj', 'odprl', '>obj poti']	S	V	O	SVO
Dvig <nsubj naredil >obj potoke	['Dvig <nsubj', 'naredil', '>obj potoke']	S	V	O	SVO
Dvojica <nsubj postavila >obj rekord	['Dvojica <nsubj', 'postavila', '>obj rekord']	S	V	O	SVO
Dvojčki <nsubj imajo >obj odnos	['Dvojčki <nsubj', 'imajo', '>obj odnos']	S	V	O	SVO
Dvojčki <nsubj ljubijo >obj klepet	['Dvojčki <nsubj', 'ljubijo', '>obj klepet']	S	V	O	SVO
Dvojčki <nsubj vas <obj presenetili	['Dvojčki <nsubj', 'vas <obj', 'presenetili']	S	O	V	SOV
Dvorec <nsubj menjal >obj lastnike	['Dvorec <nsubj', 'menjal', '>obj lastnike']	S	V	O	SVO
EUA <nsubj sprejela >obj odgovor	['EUA <nsubj', 'sprejela', '>obj odgovor']	S	V	O	SVO
EUA <nsubj začela >obj priprave	['EUA <nsubj', 'začela', '>obj priprave']	S	V	O	SVO
Eden <nsubj zagrešil >obj napako	['Eden <nsubj', 'zagrešil', '>obj napako']	S	V	O	SVO
Ekranizacije <nsubj dajo >obj raison	['Ekranizacije <nsubj', 'dajo', '>obj raison']	S	V	O	SVO
Elizabeta <nsubj imela >obj nagovor	['Elizabeta <nsubj', 'imela', '>obj nagovor']	S	V	O	SVO
Ema <nsubj dobila >obj nagrado	['Ema <nsubj', 'dobila', '>obj nagrado']	S	V	O	SVO
Ena <nsubj pripadata >obj družini	['Ena <nsubj', 'pripadata', '>obj družini']	S	V	O	SVO
Enel <nsubj imel >obj delež	['Enel <nsubj', 'imel', '>obj delež']	S	V	O	SVO
Erzberger <nsubj predloži >obj resolucijo	['Erzberger <nsubj', 'predloži', '>obj resolucijo']	S	V	O	SVO
Eulerju <obj vid <nsubj poslabšal	['Eulerju <obj', 'vid <nsubj', 'poslabšal']	O	S	V	OSV
Evalvacijo <obj pripravila >nsubj svetovalka	['Evalvacijo <obj', 'pripravila', '>nsubj svetovalka']	O	V	S	OVS
Evolucija <nsubj ustvarja >obj vrste	['Evolucija <nsubj', 'ustvarja', '>obj vrste']	S	V	O	SVO
Evropa <nsubj ogleduje >obj naličje	['Evropa <nsubj', 'ogleduje', '>obj naličje']	S	V	O	SVO
Evropa <nsubj potrebuje >obj umetnost	['Evropa <nsubj', 'potrebuje', '>obj umetnost']	S	V	O	SVO
Evropejci <nsubj jih <obj izkoristili	['Evropejci <nsubj', 'jih <obj', 'izkoristili']	S	O	V	SOV
Evropejci <nsubj začeli >obj pohod	['Evropejci <nsubj', 'začeli', '>obj pohod']	S	V	O	SVO
Evropi <obj vrača >nsubj podoba	['Evropi <obj', 'vrača', '>nsubj podoba']	O	V	S	OVS
Evroposlanci <nsubj zavrnili >obj amandma	['Evroposlanci <nsubj', 'zavrnili', '>obj amandma']	S	V	O	SVO
Fanika <nsubj govori >obj jezika	['Fanika <nsubj', 'govori', '>obj jezika']	S	V	O	SVO
Fanny <nsubj našobila >obj usta	['Fanny <nsubj', 'našobila', '>obj usta']	S	V	O	SVO
Fant <nsubj nosi >obj ime	['Fant <nsubj', 'nosi', '>obj ime']	S	V	O	SVO
Fantje <nsubj pripravili >obj prostor	['Fantje <nsubj', 'pripravili', '>obj prostor']	S	V	O	SVO
Fantje <nsubj vas <obj opazovali	['Fantje <nsubj', 'vas <obj', 'opazovali']	S	O	V	SOV
Fašizem <nsubj se <obj predstavljal	['Fašizem <nsubj', 'se <obj', 'predstavljal']	S	O	V	SOV
Festival <nsubj ponudil >obj izbiro	['Festival <nsubj', 'ponudil', '>obj izbiro']	S	V	O	SVO
