Tree	Transformed_Tree	One	Two	Three	Pattern
banke <nsubj spremljale >obj razvoj	['banke <nsubj', 'spremljale', '>obj razvoj']	S	V	O	SVO
beseda <nsubj mi <obj zdi	['beseda <nsubj', 'mi <obj', 'zdi']	S	O	V	SOV
biomaso <obj imate >nsubj vi	['biomaso <obj', 'imate', '>nsubj vi']	O	V	S	OVS
bitje <nsubj premaga >obj zlo	['bitje <nsubj', 'premaga', '>obj zlo']	S	V	O	SVO
bo >obj mene >nsubj sram	['bo', '>obj mene', '>nsubj sram']	V	O	S	VOS
boli >obj te >nsubj kurac	['boli', '>obj te', '>nsubj kurac']	V	O	S	VOS
bolnik <nsubj dobi >obj antibiotika	['bolnik <nsubj', 'dobi', '>obj antibiotika']	S	V	O	SVO
bolnik <nsubj dobi >obj podatek	['bolnik <nsubj', 'dobi', '>obj podatek']	S	V	O	SVO
bolnik <nsubj soglasje <obj prekliče	['bolnik <nsubj', 'soglasje <obj', 'prekliče']	S	O	V	SOV
bolniki <nsubj spremljajo >obj bolezen	['bolniki <nsubj', 'spremljajo', '>obj bolezen']	S	V	O	SVO
bolnikov <nsubj presliši >obj informacijo	['bolnikov <nsubj', 'presliši', '>obj informacijo']	S	V	O	SVO
bolnišnica <nsubj ima >obj postelj	['bolnišnica <nsubj', 'ima', '>obj postelj']	S	V	O	SVO
brata <nsubj vas <obj spremljala	['brata <nsubj', 'vas <obj', 'spremljala']	S	O	V	SOV
cena <nsubj nima >obj zveze	['cena <nsubj', 'nima', '>obj zveze']	S	V	O	SVO
cocacola <nsubj jih <obj ima	['cocacola <nsubj', 'jih <obj', 'ima']	S	O	V	SOV
dala >nsubj ona >obj kaj	['dala', '>nsubj ona', '>obj kaj']	V	S	O	VSO
dan <nsubj pomenil >obj odstotkov	['dan <nsubj', 'pomenil', '>obj odstotkov']	S	V	O	SVO
dedek <nsubj nas <obj zove	['dedek <nsubj', 'nas <obj', 'zove']	S	O	V	SOV
del <nsubj izvedlo >obj meritve	['del <nsubj', 'izvedlo', '>obj meritve']	S	V	O	SVO
del <nsubj mi <obj je	['del <nsubj', 'mi <obj', 'je']	S	O	V	SOV
del <obj odpeljala >nsubj Putzerjeva	['del <obj', 'odpeljala', '>nsubj Putzerjeva']	O	V	S	OVS
delaš >nsubj ti >obj magistrsko	['delaš', '>nsubj ti', '>obj magistrsko']	V	S	O	VSO
delo <nsubj mi <obj je	['delo <nsubj', 'mi <obj', 'je']	S	O	V	SOV
delo <nsubj obsega >obj usmeritve	['delo <nsubj', 'obsega', '>obj usmeritve']	S	V	O	SVO
delodajalci <nsubj namenjali >obj področju	['delodajalci <nsubj', 'namenjali', '>obj področju']	S	V	O	SVO
delodajalci <nsubj pozornosti <obj namenjali	['delodajalci <nsubj', 'pozornosti <obj', 'namenjali']	S	O	V	SOV
direktiva <nsubj področje <obj obravnava	['direktiva <nsubj', 'področje <obj', 'obravnava']	S	O	V	SOV
direktiva <nsubj uveljavila >obj pravico	['direktiva <nsubj', 'uveljavila', '>obj pravico']	S	V	O	SVO
dobi >obj ga >nsubj banda	['dobi', '>obj ga', '>nsubj banda']	V	O	S	VOS
dobijo >nsubj družine >obj pomoč	['dobijo', '>nsubj družine', '>obj pomoč']	V	S	O	VSO
dobijo >nsubj uporabniki >obj on	['dobijo', '>nsubj uporabniki', '>obj on']	V	S	O	VSO
dobil >nsubj Martin >obj obvestilo	['dobil', '>nsubj Martin', '>obj obvestilo']	V	S	O	VSO
dobili >obj dodatek >nsubj otroci	['dobili', '>obj dodatek', '>nsubj otroci']	V	O	S	VOS
doktorat <nsubj odpira >obj vrata	['doktorat <nsubj', 'odpira', '>obj vrata']	S	V	O	SVO
drugi <nsubj pojem <obj povezujejo	['drugi <nsubj', 'pojem <obj', 'povezujejo']	S	O	V	SOV
država <nsubj izračuna >obj dohodnino	['država <nsubj', 'izračuna', '>obj dohodnino']	S	V	O	SVO
država <nsubj naredila >obj spisek	['država <nsubj', 'naredila', '>obj spisek']	S	V	O	SVO
državljankam <obj krši >nsubj pravica	['državljankam <obj', 'krši', '>nsubj pravica']	O	V	S	OVS
državo <obj čaka >nsubj dela	['državo <obj', 'čaka', '>nsubj dela']	O	V	S	OVS
dvom <obj zbuja >nsubj dejstvo	['dvom <obj', 'zbuja', '>nsubj dejstvo']	O	V	S	OVS
eden <nsubj dal >obj sliko	['eden <nsubj', 'dal', '>obj sliko']	S	V	O	SVO
eden <nsubj dobi >obj nagrade	['eden <nsubj', 'dobi', '>obj nagrade']	S	V	O	SVO
en <nsubj napisal >obj bak	['en <nsubj', 'napisal', '>obj bak']	S	V	O	SVO
en <nsubj to <obj naredi	['en <nsubj', 'to <obj', 'naredi']	S	O	V	SOV
ena <nsubj [name:personal] <obj zrihtala	['ena <nsubj', '[name:personal] <obj', 'zrihtala']	S	O	V	SOV
ena <nsubj poje >obj drugo	['ena <nsubj', 'poje', '>obj drugo']	S	V	O	SVO
eni <nsubj temu <obj izogibajo	['eni <nsubj', 'temu <obj', 'izogibajo']	S	O	V	SOV
enka <nsubj oscilator <obj zaoscilira	['enka <nsubj', 'oscilator <obj', 'zaoscilira']	S	O	V	SOV
evrov <obj da >nsubj država	['evrov <obj', 'da', '>nsubj država']	O	V	S	OVS
film <nsubj je >obj meni	['film <nsubj', 'je', '>obj meni']	S	V	O	SVO
film <nsubj mi <obj bil	['film <nsubj', 'mi <obj', 'bil']	S	O	V	SOV
frendica <nsubj knjigo <obj izdala	['frendica <nsubj', 'knjigo <obj', 'izdala']	S	O	V	SOV
ga <obj dela >nsubj to	['ga <obj', 'dela', '>nsubj to']	O	V	S	OVS
ga <obj direktor <nsubj ustanovil	['ga <obj', 'direktor <nsubj', 'ustanovil']	O	S	V	OSV
ga <obj imenujemo >nsubj tok	['ga <obj', 'imenujemo', '>nsubj tok']	O	V	S	OVS
ga <obj izvaja >nsubj subjekt	['ga <obj', 'izvaja', '>nsubj subjekt']	O	V	S	OVS
ga <obj jaz <nsubj imam	['ga <obj', 'jaz <nsubj', 'imam']	O	S	V	OSV
ga <obj ljudje <nsubj zajebavali	['ga <obj', 'ljudje <nsubj', 'zajebavali']	O	S	V	OSV
ga <obj mi <nsubj uporabljamo	['ga <obj', 'mi <nsubj', 'uporabljamo']	O	S	V	OSV
ga <obj omenil >nsubj [name:personal]	['ga <obj', 'omenil', '>nsubj [name:personal]']	O	V	S	OVS
ga <obj oče <nsubj razveseli	['ga <obj', 'oče <nsubj', 'razveseli']	O	S	V	OSV
ga <obj oče <nsubj skril	['ga <obj', 'oče <nsubj', 'skril']	O	S	V	OSV
ga <obj praznik <nsubj prinaša	['ga <obj', 'praznik <nsubj', 'prinaša']	O	S	V	OSV
ga <obj prebere >nsubj nekdo	['ga <obj', 'prebere', '>nsubj nekdo']	O	V	S	OVS
ga <obj predvideva >nsubj strategija	['ga <obj', 'predvideva', '>nsubj strategija']	O	V	S	OVS
ga <obj sooblikoval >nsubj mehanik	['ga <obj', 'sooblikoval', '>nsubj mehanik']	O	V	S	OVS
ga <obj transponiral >nsubj člen	['ga <obj', 'transponiral', '>nsubj člen']	O	V	S	OVS
ga <obj zaboli >nsubj tisti	['ga <obj', 'zaboli', '>nsubj tisti']	O	V	S	OVS
ga <obj zavezniki <nsubj bombardirali	['ga <obj', 'zavezniki <nsubj', 'bombardirali']	O	S	V	OSV
ga <obj čakajo >nsubj situacije	['ga <obj', 'čakajo', '>nsubj situacije']	O	V	S	OVS
galaksija <nsubj pojedla >obj drugo	['galaksija <nsubj', 'pojedla', '>obj drugo']	S	V	O	SVO
garmin <nsubj jih <obj pelje	['garmin <nsubj', 'jih <obj', 'pelje']	S	O	V	SOV
gospod <nsubj izpostavil >obj vprašanje	['gospod <nsubj', 'izpostavil', '>obj vprašanje']	S	V	O	SVO
gospod <nsubj plačala >obj kredite	['gospod <nsubj', 'plačala', '>obj kredite']	S	V	O	SVO
hrano <obj jaz <nsubj pripravljam	['hrano <obj', 'jaz <nsubj', 'pripravljam']	O	S	V	OSV
ima >nsubj Bog >obj smisel	['ima', '>nsubj Bog', '>obj smisel']	V	S	O	VSO
ima >nsubj dejavnost >obj učinke	['ima', '>nsubj dejavnost', '>obj učinke']	V	S	O	VSO
ima >nsubj epidemija >obj posledico	['ima', '>nsubj epidemija', '>obj posledico']	V	S	O	VSO
ima >nsubj gospa >obj številko	['ima', '>nsubj gospa', '>obj številko']	V	S	O	VSO
ima >nsubj ljudi >obj Facebook	['ima', '>nsubj ljudi', '>obj Facebook']	V	S	O	VSO
ima >nsubj posameznik >obj naslov	['ima', '>nsubj posameznik', '>obj naslov']	V	S	O	VSO
ima >nsubj pridelava >obj posledice	['ima', '>nsubj pridelava', '>obj posledice']	V	S	O	VSO
ima >nsubj to >obj veze	['ima', '>nsubj to', '>obj veze']	V	S	O	VSO
ima >nsubj vsak >obj zgodbo	['ima', '>nsubj vsak', '>obj zgodbo']	V	S	O	VSO
ima >nsubj vse >obj okus	['ima', '>nsubj vse', '>obj okus']	V	S	O	VSO
imajo >nsubj Italijani >obj to	['imajo', '>nsubj Italijani', '>obj to']	V	S	O	VSO
imajo >nsubj otroci >obj priložnosti	['imajo', '>nsubj otroci', '>obj priložnosti']	V	S	O	VSO
imajo >nsubj vsi >obj cajt	['imajo', '>nsubj vsi', '>obj cajt']	V	S	O	VSO
imajo >nsubj škratje >obj moči	['imajo', '>nsubj škratje', '>obj moči']	V	S	O	VSO
imajo >obj čas >nsubj prebivalci	['imajo', '>obj čas', '>nsubj prebivalci']	V	O	S	VOS
imam >nsubj jaz >obj obveznosti	['imam', '>nsubj jaz', '>obj obveznosti']	V	S	O	VSO
imata >nsubj vidva >obj mene	['imata', '>nsubj vidva', '>obj mene']	V	S	O	VSO
imate >nsubj vi >obj Belokranjce	['imate', '>nsubj vi', '>obj Belokranjce']	V	S	O	VSO
imate >nsubj vi >obj vrste	['imate', '>nsubj vi', '>obj vrste']	V	S	O	VSO
imaš >nsubj ti >obj dela	['imaš', '>nsubj ti', '>obj dela']	V	S	O	VSO
imaš >nsubj ti >obj prednost	['imaš', '>nsubj ti', '>obj prednost']	V	S	O	VSO
imaš >nsubj ti >obj slike	['imaš', '>nsubj ti', '>obj slike']	V	S	O	VSO
imaš >nsubj ti >obj table	['imaš', '>nsubj ti', '>obj table']	V	S	O	VSO
imel >nsubj center >obj postelj	['imel', '>nsubj center', '>obj postelj']	V	S	O	VSO
imela >nsubj jaz >obj isto	['imela', '>nsubj jaz', '>obj isto']	V	S	O	VSO
imela >obj besedo >nsubj [name:personal]	['imela', '>obj besedo', '>nsubj [name:personal]']	V	O	S	VOS
imeli >nsubj družine >obj ostanek	['imeli', '>nsubj družine', '>obj ostanek']	V	S	O	VSO
informacije <obj bolnik <nsubj dobi	['informacije <obj', 'bolnik <nsubj', 'dobi']	O	S	V	OSV
inteligenca <nsubj nadgradi >obj sisteme	['inteligenca <nsubj', 'nadgradi', '>obj sisteme']	S	V	O	SVO
interesi <nsubj ustvarjajo >obj razred	['interesi <nsubj', 'ustvarjajo', '>obj razred']	S	V	O	SVO
internet <nsubj mi <obj pretekel	['internet <nsubj', 'mi <obj', 'pretekel']	S	O	V	SOV
inšpektor <nsubj dobil >obj policista	['inšpektor <nsubj', 'dobil', '>obj policista']	S	V	O	SVO
isto <obj mi <nsubj delamo	['isto <obj', 'mi <nsubj', 'delamo']	O	S	V	OSV
izdelkov <nsubj ima >obj ta	['izdelkov <nsubj', 'ima', '>obj ta']	S	V	O	SVO
izvajalec <nsubj podatke <obj obravnava	['izvajalec <nsubj', 'podatke <obj', 'obravnava']	S	O	V	SOV
javnost <nsubj kodifikacijo <obj uresničuje	['javnost <nsubj', 'kodifikacijo <obj', 'uresničuje']	S	O	V	SOV
javnost <nsubj posvetili >obj pozornost	['javnost <nsubj', 'posvetili', '>obj pozornost']	S	V	O	SVO
jaz <nsubj Brooklyna <obj gledal	['jaz <nsubj', 'Brooklyna <obj', 'gledal']	S	O	V	SOV
jaz <nsubj bom >obj drugo	['jaz <nsubj', 'bom', '>obj drugo']	S	V	O	SVO
jaz <nsubj cvek <obj pisal	['jaz <nsubj', 'cvek <obj', 'pisal']	S	O	V	SOV
jaz <nsubj dal >obj timijana	['jaz <nsubj', 'dal', '>obj timijana']	S	V	O	SVO
jaz <nsubj dala >obj mačkov	['jaz <nsubj', 'dala', '>obj mačkov']	S	V	O	SVO
jaz <nsubj dopolnila >obj doktor	['jaz <nsubj', 'dopolnila', '>obj doktor']	S	V	O	SVO
jaz <nsubj ga <obj čujem	['jaz <nsubj', 'ga <obj', 'čujem']	S	O	V	SOV
jaz <nsubj gledam >obj položnico	['jaz <nsubj', 'gledam', '>obj položnico']	S	V	O	SVO
jaz <nsubj igral >obj Rocket	['jaz <nsubj', 'igral', '>obj Rocket']	S	V	O	SVO
jaz <nsubj imam >obj dni	['jaz <nsubj', 'imam', '>obj dni']	S	V	O	SVO
jaz <nsubj imam >obj dva	['jaz <nsubj', 'imam', '>obj dva']	S	V	O	SVO
jaz <nsubj imam >obj enega	['jaz <nsubj', 'imam', '>obj enega']	S	V	O	SVO
jaz <nsubj imam >obj filme	['jaz <nsubj', 'imam', '>obj filme']	S	V	O	SVO
jaz <nsubj imam >obj kil	['jaz <nsubj', 'imam', '>obj kil']	S	V	O	SVO
jaz <nsubj imam >obj občutek	['jaz <nsubj', 'imam', '>obj občutek']	S	V	O	SVO
jaz <nsubj imam >obj otroke	['jaz <nsubj', 'imam', '>obj otroke']	S	V	O	SVO
jaz <nsubj imam >obj srečo	['jaz <nsubj', 'imam', '>obj srečo']	S	V	O	SVO
jaz <nsubj imam >obj teraso	['jaz <nsubj', 'imam', '>obj teraso']	S	V	O	SVO
jaz <nsubj imam >obj težavo	['jaz <nsubj', 'imam', '>obj težavo']	S	V	O	SVO
jaz <nsubj imam >obj to	['jaz <nsubj', 'imam', '>obj to']	S	V	O	SVO
jaz <nsubj imam >obj uro	['jaz <nsubj', 'imam', '>obj uro']	S	V	O	SVO
jaz <nsubj imel >obj jurjev	['jaz <nsubj', 'imel', '>obj jurjev']	S	V	O	SVO
jaz <nsubj imel >obj razlago	['jaz <nsubj', 'imel', '>obj razlago']	S	V	O	SVO
jaz <nsubj imel >obj zaščito	['jaz <nsubj', 'imel', '>obj zaščito']	S	V	O	SVO
jaz <nsubj imela >obj mačke	['jaz <nsubj', 'imela', '>obj mačke']	S	V	O	SVO
jaz <nsubj imela >obj pogovor	['jaz <nsubj', 'imela', '>obj pogovor']	S	V	O	SVO
jaz <nsubj imela >obj rože	['jaz <nsubj', 'imela', '>obj rože']	S	V	O	SVO
jaz <nsubj imela >obj smolo	['jaz <nsubj', 'imela', '>obj smolo']	S	V	O	SVO
jaz <nsubj imela >obj časa	['jaz <nsubj', 'imela', '>obj časa']	S	V	O	SVO
jaz <nsubj iskal >obj karavan	['jaz <nsubj', 'iskal', '>obj karavan']	S	V	O	SVO
jaz <nsubj izpostavila >obj področja	['jaz <nsubj', 'izpostavila', '>obj področja']	S	V	O	SVO
jaz <nsubj izraz <obj napisala	['jaz <nsubj', 'izraz <obj', 'napisala']	S	O	V	SOV
jaz <nsubj jo <obj nadomestim	['jaz <nsubj', 'jo <obj', 'nadomestim']	S	O	V	SOV
jaz <nsubj jo <obj videl	['jaz <nsubj', 'jo <obj', 'videl']	S	O	V	SOV
jaz <nsubj končal >obj Ikš	['jaz <nsubj', 'končal', '>obj Ikš']	S	V	O	SVO
jaz <nsubj kuhala >obj kosilo	['jaz <nsubj', 'kuhala', '>obj kosilo']	S	V	O	SVO
jaz <nsubj mislim >obj ono	['jaz <nsubj', 'mislim', '>obj ono']	S	V	O	SVO
jaz <nsubj našel >obj zanimivo	['jaz <nsubj', 'našel', '>obj zanimivo']	S	V	O	SVO
jaz <nsubj nekaj <obj menjal	['jaz <nsubj', 'nekaj <obj', 'menjal']	S	O	V	SOV
jaz <nsubj ocenjujem >obj ljudi	['jaz <nsubj', 'ocenjujem', '>obj ljudi']	S	V	O	SVO
jaz <nsubj opisal >obj zgodbo	['jaz <nsubj', 'opisal', '>obj zgodbo']	S	V	O	SVO
jaz <nsubj pogledala >obj sezono	['jaz <nsubj', 'pogledala', '>obj sezono']	S	V	O	SVO
jaz <nsubj pojma <obj nimam	['jaz <nsubj', 'pojma <obj', 'nimam']	S	O	V	SOV
jaz <nsubj povzela >obj besede	['jaz <nsubj', 'povzela', '>obj besede']	S	V	O	SVO
jaz <nsubj pozabil >obj zvezke	['jaz <nsubj', 'pozabil', '>obj zvezke']	S	V	O	SVO
jaz <nsubj poznal >obj kolega	['jaz <nsubj', 'poznal', '>obj kolega']	S	V	O	SVO
jaz <nsubj prekinila >obj pisanje	['jaz <nsubj', 'prekinila', '>obj pisanje']	S	V	O	SVO
jaz <nsubj preverim >obj sestavine	['jaz <nsubj', 'preverim', '>obj sestavine']	S	V	O	SVO
jaz <nsubj si <obj pomagam	['jaz <nsubj', 'si <obj', 'pomagam']	S	O	V	SOV
jaz <nsubj skledo <obj snedla	['jaz <nsubj', 'skledo <obj', 'snedla']	S	O	V	SOV
jaz <nsubj sprejela >obj prijavo	['jaz <nsubj', 'sprejela', '>obj prijavo']	S	V	O	SVO
jaz <nsubj stvar <obj pogruntam	['jaz <nsubj', 'stvar <obj', 'pogruntam']	S	O	V	SOV
jaz <nsubj te <obj imam	['jaz <nsubj', 'te <obj', 'imam']	S	O	V	SOV
jaz <nsubj tega <obj držim	['jaz <nsubj', 'tega <obj', 'držim']	S	O	V	SOV
jaz <nsubj tega <obj izdal	['jaz <nsubj', 'tega <obj', 'izdal']	S	O	V	SOV
jaz <nsubj temu <obj pravim	['jaz <nsubj', 'temu <obj', 'pravim']	S	O	V	SOV
jaz <nsubj to <obj imela	['jaz <nsubj', 'to <obj', 'imela']	S	O	V	SOV
jaz <nsubj to <obj naredila	['jaz <nsubj', 'to <obj', 'naredila']	S	O	V	SOV
jaz <nsubj to <obj pogledam	['jaz <nsubj', 'to <obj', 'pogledam']	S	O	V	SOV
jaz <nsubj to <obj učil	['jaz <nsubj', 'to <obj', 'učil']	S	O	V	SOV
jaz <nsubj vam <obj opravičujem	['jaz <nsubj', 'vam <obj', 'opravičujem']	S	O	V	SOV
jaz <nsubj videl >obj šaljivcev	['jaz <nsubj', 'videl', '>obj šaljivcev']	S	V	O	SVO
jaz <nsubj videla >obj spremembe	['jaz <nsubj', 'videla', '>obj spremembe']	S	V	O	SVO
jaz <nsubj vidim >obj rešitev	['jaz <nsubj', 'vidim', '>obj rešitev']	S	V	O	SVO
jaz <nsubj vsakemu <obj odgovorim	['jaz <nsubj', 'vsakemu <obj', 'odgovorim']	S	O	V	SOV
jaz <nsubj zafrknil >obj vse	['jaz <nsubj', 'zafrknil', '>obj vse']	S	V	O	SVO
jaz <nsubj špilal >obj frajtonarico	['jaz <nsubj', 'špilal', '>obj frajtonarico']	S	V	O	SVO
jaz <nsubj štajerščine <obj slišim	['jaz <nsubj', 'štajerščine <obj', 'slišim']	S	O	V	SOV
je <obj noben <nsubj poslušal	['je <obj', 'noben <nsubj', 'poslušal']	O	S	V	OSV
je >obj mami >nsubj ime	['je', '>obj mami', '>nsubj ime']	V	O	S	VOS
jed <nsubj ima >obj simbol	['jed <nsubj', 'ima', '>obj simbol']	S	V	O	SVO
ji <obj je >nsubj ime	['ji <obj', 'je', '>nsubj ime']	O	V	S	OVS
ji <obj vi <nsubj podarite	['ji <obj', 'vi <nsubj', 'podarite']	O	S	V	OSV
jih <nsubj konča >obj šole	['jih <nsubj', 'konča', '>obj šole']	S	V	O	SVO
jih <obj Republika <nsubj uzakonila	['jih <obj', 'Republika <nsubj', 'uzakonila']	O	S	V	OSV
jih <obj bolnik <nsubj prepoznal	['jih <obj', 'bolnik <nsubj', 'prepoznal']	O	S	V	OSV
jih <obj bolniki <nsubj spoštujejo	['jih <obj', 'bolniki <nsubj', 'spoštujejo']	O	S	V	OSV
jih <obj daje >nsubj država	['jih <obj', 'daje', '>nsubj država']	O	V	S	OVS
jih <obj dajejo >nsubj društva	['jih <obj', 'dajejo', '>nsubj društva']	O	V	S	OVS
jih <obj doktor <nsubj povedala	['jih <obj', 'doktor <nsubj', 'povedala']	O	S	V	OSV
jih <obj imajo >nsubj organizacije	['jih <obj', 'imajo', '>nsubj organizacije']	O	V	S	OVS
jih <obj izdalo >nsubj združenje	['jih <obj', 'izdalo', '>nsubj združenje']	O	V	S	OVS
jih <obj je >nsubj ona	['jih <obj', 'je', '>nsubj ona']	O	V	S	OVS
